Timestamp,Where do you like to study?,Gender,Do you prefer to study alone ?,How many Hours do you study in one go ?,Do you prefer snacks while studying ?,In which Block you stay?,Do you prefer to study on Bed or Study table?,Which program are you enrolled in ?,Which department are you in ?,Do you prefer Live Lectures or Recording?,Do you prefer to study with Lec recording or Lec slides?,Score
4/5/2022 22:02:37,Your Room,Male,Alone,2-3 Hrs,Sometimes,Ramanuja,Study Table,Undergraduate,Chemical Engineering,Live Lectures,Slides,
4/5/2022 22:02:52,Your Room,Male,Alone,2-3 Hrs,Yes,Vyasa,Bed,Undergraduate,Civil Engineering,Live Lectures,Recording,
4/5/2022 22:03:07,Your Room,Male,Alone,3-4 Hrs,Yes,Ramanuja,Bed,Undergraduate,Bio Engineering,Both are equally preferable,Recording,
4/5/2022 22:03:22,Your Room,Male,Alone,1-2 Hrs,No,Kapila,Study Table,Postgraduate,Liberal Arts Department,Live Lectures,Slides,
4/5/2022 22:06:40,Your Friends' room,Male,With a friend,1-2 Hrs,No,Brahmagupta,Both,Undergraduate,Artificial Intelligence,Live Lectures,Slides,
4/5/2022 22:09:02,Academic Block,Male,Alone,2-3 Hrs,No,,Study Table,Undergraduate,Mathematics,Recording,Slides,
4/5/2022 22:10:24,Academic Block,Male,Prefer Group Study,3-4 Hrs,Sometimes,Ramanuja,Study Table,Undergraduate,Chemical Engineering,Live Lectures,Slides,
4/5/2022 22:10:44,Your Room,Male,Alone,1-2 Hrs,Sometimes,Ramanuja,Study Table,Undergraduate,Bio Engineering,Both are equally preferable,Recording,
4/5/2022 22:10:56,Academic Block,Male,With a friend,1-2 Hrs,Sometimes,Charaka,Study Table,Postgraduate,Chemistry,Both are equally preferable,Recording,
4/5/2022 22:15:45,Your Room,Female,Alone,3-4 Hrs,Sometimes,,Study Table,Undergraduate,Others,Both are equally preferable,Recording,
4/5/2022 22:16:50,Academic Block,Male,With a friend,1-2 Hrs,Sometimes,Ramanuja,Study Table,Undergraduate,Chemical Engineering,Live Lectures,Recording,
